title,info,rating,url
Отель «Гранд Будапешт»,"The Grand Budapest Hotel, 2014, 1 ч 40 мин",7.3,https://www.kinopoisk.ru/film/683999/
Мстители: Финал,"Avengers: Endgame, 2019, 3 ч 1 мин",7.3,https://www.kinopoisk.ru/film/843650/
Укрась прощальное утро цветами обещания,"Sayonara no asa ni yakusoku no hana o kazaro, 2018, 1 ч 55 мин",7.3,https://www.kinopoisk.ru/film/1103852/
Общество мертвых поэтов,"Dead Poets Society, 1989, 2 ч 8 мин",7.3,https://www.kinopoisk.ru/film/4996/
Другие,"The Others, 2001, 1 ч 41 мин",7.3,https://www.kinopoisk.ru/film/494/
Охота,"Jagten, 2012, 1 ч 55 мин",7.3,https://www.kinopoisk.ru/film/647671/
Вечера на хуторе близ Диканьки,"1961, 1 ч 6 мин",7.3,https://www.kinopoisk.ru/film/45694/
Убить Билла,"Kill Bill: Vol. 1, 2003, 1 ч 51 мин",7.3,https://www.kinopoisk.ru/film/2717/
Твоё имя,"Kimi no na wa., 2016, 1 ч 50 мин",7.3,https://www.kinopoisk.ru/film/958722/
Игрушка,"Le jouet, 1976, 1 ч 35 мин",7.3,https://www.kinopoisk.ru/film/57004/
Хоббит: Нежданное путешествие,"The Hobbit: An Unexpected Journey, 2012, 2 ч 49 мин",7.3,https://www.kinopoisk.ru/film/278522/
Бронкская история,"A Bronx Tale, 1993, 2 ч 1 мин",7.3,https://www.kinopoisk.ru/film/7466/
Нечто,"The Thing, 1982, 1 ч 49 мин",7.3,https://www.kinopoisk.ru/film/8366/
Железный человек,"Iron Man, 2008, 2 ч 6 мин",7.3,https://www.kinopoisk.ru/film/61237/
Экипаж,"2016, 2 ч 18 мин",7.3,https://www.kinopoisk.ru/film/839818/
В погоне за счастьем,"The Pursuit of Happyness, 2006, 1 ч 57 мин",7.3,https://www.kinopoisk.ru/film/104938/
О чём говорят мужчины,"2010, 1 ч 33 мин",7.3,https://www.kinopoisk.ru/film/468102/
Звёздные войны: Эпизод 3 – Месть ситхов,"Star Wars: Episode III - Revenge of the Sith, 2005, 2 ч 20 мин",7.3,https://www.kinopoisk.ru/film/5619/
Гонка,"Rush, 2013, 2 ч 3 мин",7.3,https://www.kinopoisk.ru/film/596125/
Курьер,"1986, 1 ч 28 мин",7.3,https://www.kinopoisk.ru/film/45028/
Казино,"Casino, 1995, 2 ч 51 мин",7.3,https://www.kinopoisk.ru/film/2494/
Таксист,"Taeksi unjeonsa, 2017, 2 ч 17 мин",7.3,https://www.kinopoisk.ru/film/1008113/
Эффект бабочки,"The Butterfly Effect, 2003, 1 ч 53 мин",7.3,https://www.kinopoisk.ru/film/5167/
Темный рыцарь: Возрождение легенды,"The Dark Knight Rises, 2012, 2 ч 45 мин",7.3,https://www.kinopoisk.ru/film/437410/
Американская история X,"American History X, 1998, 1 ч 59 мин",7.3,https://www.kinopoisk.ru/film/382/
Эта замечательная жизнь,"It's a Wonderful Life, 1947, 2 ч 10 мин",7.3,https://www.kinopoisk.ru/film/348/
Красота по-американски,"American Beauty, 1999, 2 ч 2 мин",7.3,https://www.kinopoisk.ru/film/351/
Один день,"One Day, 2011, 1 ч 43 мин",7.3,https://www.kinopoisk.ru/film/495518/
Покровские ворота,"1982, 2 ч 20 мин",7.3,https://www.kinopoisk.ru/film/77203/
Чужие,"Aliens, 1986, 2 ч 17 мин",7.3,https://www.kinopoisk.ru/film/406/
Сталкер,"1979, 2 ч 43 мин",7.3,https://www.kinopoisk.ru/film/43970/
Один дома 2: Затерянный в Нью-Йорке,"Home Alone 2: Lost in New York, 1992, 1 ч 59 мин",7.3,https://www.kinopoisk.ru/film/5928/
Прислуга,"The Help, 2011, 2 ч 26 мин",7.3,https://www.kinopoisk.ru/film/470553/
Человек-паук,"Spider-Man, 2002, 2 ч 1 мин",7.3,https://www.kinopoisk.ru/film/838/
Тот самый Мюнхгаузен,"1979, 2 ч 14 мин",7.2,https://www.kinopoisk.ru/film/77283/
Изгой,"Cast Away, 2000, 2 ч 23 мин",7.2,https://www.kinopoisk.ru/film/627/
Воин,"Warrior, 2011, 2 ч 20 мин",7.2,https://www.kinopoisk.ru/film/442568/
Профессионал,"Le professionnel, 1981, 1 ч 48 мин",7.2,https://www.kinopoisk.ru/film/39259/
Пираты Карибского моря: На краю света,"Pirates of the Caribbean: At World's End, 2007, 2 ч 49 мин",7.2,https://www.kinopoisk.ru/film/102124/
Терминатор,"The Terminator, 1984, 1 ч 48 мин",7.2,https://www.kinopoisk.ru/film/507/
Гараж,"1979, 1 ч 36 мин",7.2,https://www.kinopoisk.ru/film/44467/
Землетрясение,"Tangshan da dizhen, 2010, 2 ч 19 мин",7.2,https://www.kinopoisk.ru/film/463694/
Гарри Поттер и Принц-полукровка,"Harry Potter and the Half-Blood Prince, 2009, 2 ч 33 мин",7.2,https://www.kinopoisk.ru/film/89515/
Выстрел в пустоту,"Shot Caller, 2015, 2 ч",7.2,https://www.kinopoisk.ru/film/910353/
Пленницы,"Prisoners, 2013, 2 ч 33 мин",7.2,https://www.kinopoisk.ru/film/455194/
Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,"1980, 1 ч 5 мин",7.2,https://www.kinopoisk.ru/film/368937/
Невидимый гость,"Contratiempo, 2016, 1 ч 46 мин",7.2,https://www.kinopoisk.ru/film/959365/
Бегущий по лезвию 2049,"Blade Runner 2049, 2017, 2 ч 44 мин",7.2,https://www.kinopoisk.ru/film/589290/
Старикам тут не место,"No Country for Old Men, 2007, 2 ч 2 мин",7.2,https://www.kinopoisk.ru/film/195434/
Лицо со шрамом,"Scarface, 1983, 2 ч 50 мин",7.2,https://www.kinopoisk.ru/film/4695/
"Три билборда на границе Эббинга, Миссури","Three Billboards Outside Ebbing, Missouri, 2017, 1 ч 55 мин",7.2,https://www.kinopoisk.ru/film/944098/
Дело Коллини,"Der Fall Collini, 2019, 2 ч 3 мин",7.2,https://www.kinopoisk.ru/film/1179501/
Пролетая над гнездом кукушки,"One Flew Over the Cuckoo's Nest, 1975, 2 ч 13 мин",7.2,https://www.kinopoisk.ru/film/336/
Константин: Повелитель тьмы,"Constantine, 2005, 2 ч 1 мин",7.2,https://www.kinopoisk.ru/film/3793/
Большая игра,"Molly's Game, 2017, 2 ч 20 мин",7.2,https://www.kinopoisk.ru/film/976636/
Убойные каникулы,"Tucker and Dale vs Evil, 2010, 1 ч 25 мин",7.2,https://www.kinopoisk.ru/film/485261/
"Добро пожаловать, или Посторонним вход воспрещен","1964, 1 ч 11 мин",7.2,https://www.kinopoisk.ru/film/44238/
Звук свободы,"Sound of Freedom, 2023, 2 ч 11 мин",7.2,https://www.kinopoisk.ru/film/1134493/
Работа без авторства,"Werk ohne Autor, 2018, 3 ч 9 мин",7.2,https://www.kinopoisk.ru/film/959606/
Бешеные псы,"Reservoir Dogs, 1991, 1 ч 40 мин",7.2,https://www.kinopoisk.ru/film/394/
